,importance
BRAND,0.16501693701740303
redeemed_coupon_flag,0.14156087992357222
CAMPAIGN_coupon,0.10364513764990058
MANUFACTURER,0.10186951690367664
in_campaign_period,0.09356024796344227
INCOME_DESC,0.08601974388840997
campaign_exposed_flag,0.07855890066990089
COUPON_UPC,0.06616932518576626
START_DAY,0.061783396281614784
DESCRIPTION_x,0.03917190642926824
DESCRIPTION_y,0.026923089268905406
AGE_DESC,0.023708546360275282
HH_COMP_DESC,0.0047463069342660565
KID_CATEGORY_DESC,0.004594483586239154
COUPON_MATCH_DISC,0.0017330529154331673
COMMODITY_DESC,0.0004623590967673612
STORE_ID,0.00030676680106055896
HOUSEHOLD_SIZE_DESC,0.0001500174101167609
WEEK_NO,9.98383275734212e-06
SUB_COMMODITY_DESC,5.2680658800547026e-06
END_DAY,2.080722449788911e-06
DAY,1.487117368393759e-06
MARITAL_STATUS_CODE,2.833789026056744e-07
RETAIL_DISC,2.7720965867338e-07
HOMEOWNER_DESC,3.6996120753793256e-09
COUPON_DISC,1.0300368695679474e-09
CURR_SIZE_OF_PRODUCT,6.573156315498589e-10
DEPARTMENT,0.0
CAMPAIGN,0.0
total_discount,0.0
UNIT_PRICE,0.0
DISCOUNT_RATE,0.0
